datetime.utcnow;Btn_name;Action;In_Time_Interval
2021-01-26 17:00:56.884419;Btn2;pressed;True
2021-01-26 17:00:59.783213;Btn1;pressed;True
2021-01-26 17:01:02.981045;Btn2;pressed;True
2021-01-26 17:01:05.905771;Btn1;pressed;True
2021-01-26 17:01:08.871946;Btn2;pressed;True
2021-01-26 17:01:11.703449;Btn1;pressed;True
2021-01-26 17:01:14.883210;Btn2;pressed;True
2021-01-26 17:01:17.646757;Btn1;pressed;True
2021-01-26 17:01:20.923212;Btn2;pressed;True
2021-01-26 17:01:23.657110;Btn1;pressed;True
2021-01-26 17:01:26.764521;Btn2;pressed;True
2021-01-26 17:01:29.703248;Btn1;pressed;True
2021-01-26 17:01:32.811230;Btn2;pressed;True
2021-01-26 17:01:35.711244;Btn1;pressed;True
2021-01-26 17:01:38.920381;Btn2;pressed;True
2021-01-26 17:01:41.795210;Btn1;pressed;True
2021-01-26 17:01:44.959213;Btn2;pressed;True
2021-01-26 17:01:47.855772;Btn1;pressed;True
2021-01-26 17:01:51.159211;Btn2;pressed;True
2021-01-26 17:01:53.996029;Btn1;pressed;True
2021-01-26 17:01:57.129651;Btn2;pressed;True
2021-01-26 17:01:59.926741;Btn1;pressed;True
2021-01-26 17:02:03.015930;Btn2;pressed;True
2021-01-26 17:02:05.996071;Btn1;pressed;True
2021-01-26 17:02:08.946018;Btn2;pressed;True
2021-01-26 17:02:11.958967;Btn1;pressed;True
2021-01-26 17:02:15.051256;Btn2;pressed;True
2021-01-26 17:02:17.955242;Btn1;pressed;True
2021-01-26 17:02:21.043181;Btn2;pressed;True
2021-01-26 17:02:24.071317;Btn1;pressed;True
2021-01-26 17:02:27.104490;Btn2;pressed;True
2021-01-26 17:02:30.102736;Btn1;pressed;True
2021-01-26 17:02:33.179209;Btn2;pressed;True
2021-01-26 17:02:36.158720;Btn1;pressed;True
2021-01-26 17:02:39.246752;Btn2;pressed;True
2021-01-26 17:02:42.311225;Btn1;pressed;True
2021-01-26 17:02:45.385270;Btn2;pressed;True
2021-01-26 17:02:48.309434;Btn1;pressed;True
2021-01-26 17:02:51.415763;Btn2;pressed;True
2021-01-26 17:02:54.324001;Btn1;pressed;True
2021-01-26 17:02:57.431984;Btn2;pressed;True
2021-01-26 17:03:00.435268;Btn1;pressed;True
2021-01-26 17:03:03.427250;Btn2;pressed;True
2021-01-26 17:03:06.350505;Btn1;pressed;True
2021-01-26 17:03:09.528378;Btn2;pressed;True
2021-01-26 17:03:12.440632;Btn1;pressed;True
2021-01-26 17:03:15.714131;Btn2;pressed;True
2021-01-26 17:03:18.646688;Btn1;pressed;True
